brand,series,model,ad_title,year,mileage,color,price,ad_date,city,district,url
Audi,A3,A3 Sportback 1.6,Değişensiz Sınıf Audi A3,2011,209000,Siyah,558000.0,20 Mayıs 2023,Antalya,Muratpaşa,/ilan/vasita-otomobil-audi-degisensiz-sinif-audi-a3-1100600421/detay
Audi,A4,A4 Sedan 1.9 TDI,TR TEK AUDI A4 1.9 TDI 130'LUK S LINE AVANT,2003,193000,Siyah,565000.0,18 Mayıs 2023,İzmir,Ödemiş,/ilan/vasita-otomobil-audi-tr-tek-audi-a4-1.9-tdi-130-luk-s-line-avant-1100112655/detay
Audi,A4,A4 Sedan 2.0 TDI,Hatasız Audi A4 B7 Kasa Emsalsiz 2.0 Deri Koltuk+Sanruf+F1,2006,286000,Siyah,570000.0,22 Mayıs 2023,Bursa,Osmangazi,/ilan/vasita-otomobil-audi-hatasiz-audi-a4-b7-kasa-emsalsiz-2.0-deri-koltuk-plussanruf-plusf1-1101073633/detay
Audi,A1,1.4 TFSI Ambition,DEĞİŞENSİZ 172 BİN KM,2011,178000,Siyah,575000.0,24 Mayıs 2023,Bursa,Nilüfer,/ilan/vasita-otomobil-audi-degisensiz-172-bin-km-1094016193/detay
Audi,A6,A6 Sedan 2.0 TDI,SAHİBİNDEN,2008,313000,Beyaz,582000.0,19 Mayıs 2023,Ankara,Altındağ,/ilan/vasita-otomobil-audi-sahibinden-1093103426/detay
Audi,A6,A6 Sedan 2.0 TDI,Emsalsiz temizlikte makam aracı... FUL+FUL,2008,325000,Gri,585000.0,21 Mayıs 2023,İstanbul,Beylikdüzü,/ilan/vasita-otomobil-audi-emsalsiz-temizlikte-makam-araci-ful-plusful-1092717725/detay
Audi,A6,A6 Sedan 2.0 TDI,AUDİ A6 / HASAR KAYITSIZ / ÖZEL PLAKA / 4KOLTUK ISITMA,2007,357000,Siyah,595000.0,24 Mayıs 2023,Ankara,Keçiören,/ilan/vasita-otomobil-audi-audi-a6-hasar-kayitsiz-ozel-plaka-4koltuk-isitma-1100340434/detay
Audi,A6,A6 Sedan 2.0 TDI,SAHİBİNDEN TEMİZ AUDİ A6,2008,410000,Siyah,595000.0,18 Mayıs 2023,Ankara,Çankaya,/ilan/vasita-otomobil-audi-sahibinden-temiz-audi-a6-1100141505/detay
Audi,A3,A3 Sportback 1.6,ORJİNAL (S LINE ) CAM TAVAN + OTOMATİK,2006,358000,Kırmızı,597000.0,23 Mayıs 2023,Ankara,Yenimahalle,/ilan/vasita-otomobil-audi-orjinal-s-line-cam-tavan-plus-otomatik-1101177707/detay
Audi,A3,A3 Sportback 1.6 TDI,Değişensiz 2012 model A3,2012,240000,Siyah,599999.0,25 Mayıs 2023,İstanbul,Ümraniye,/ilan/vasita-otomobil-audi-degisensiz-2012-model-a3-1101645119/detay
